Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
60,30,19.89,47.5966666667,19.2,44.79,19.79,44.73,19.0,45.5666666667,17.1666666667,55.2,7.0266666667,84.2566666667,17.2,41.6266666667,18.2,48.9,17.0333333333,45.53,6.6,733.5,92.0,7.0,63.0,5.3,13.2754331571,13.2754331571
60,30,19.89,46.6933333333,19.2,44.7225,19.79,44.79,19.0,45.9925,17.1666666667,55.2,6.8333333333,84.0633333333,17.2,41.56,18.2,48.8633333333,17.0666666667,45.56,6.4833333333,733.6,92.0,6.6666666667,59.1666666667,5.2,18.6061949818,18.6061949818
50,30,19.89,46.3,19.2,44.6266666667,19.79,44.9333333333,18.9266666667,45.89,17.1666666667,55.09,6.56,83.1566666667,17.2,41.4333333333,18.2,48.73,17.0,45.5,6.3666666667,733.7,92.0,6.3333333333,55.3333333333,5.1,28.6426681676,28.6426681676
50,40,19.89,46.0666666667,19.2,44.59,19.79,45.0,18.89,45.7233333333,17.1666666667,55.09,6.4333333333,83.4233333333,17.1333333333,41.29,18.1,48.59,17.0,45.4,6.25,733.8,92.0,6.0,51.5,5.0,45.4103894997,45.4103894997
60,40,19.89,46.3333333333,19.2,44.53,19.79,45.0,18.89,45.53,17.2,55.09,6.3666666667,84.8933333333,17.2,41.23,18.1,48.59,17.0,45.4,6.1333333333,733.9,92.0,5.6666666667,47.6666666667,4.9,10.0840965519,10.0840965519
50,40,19.89,46.0266666667,19.2,44.5,19.79,44.9333333333,18.89,45.73,17.1333333333,55.03,6.3,85.7666666667,17.1333333333,41.26,18.1,48.59,17.0,45.29,6.0166666667,734.0,92.0,5.3333333333,43.8333333333,4.8,44.9194842484,44.9194842484
60,50,19.89,45.7666666667,19.2,44.5,19.79,44.9,18.89,45.79,17.1,54.9666666667,6.2633333333,86.09,17.1333333333,41.2,18.1,48.59,17.0,45.29,5.9,734.1,92.0,5.0,40.0,4.7,47.2337634303,47.2337634303
60,50,19.8566666667,45.56,19.2,44.5,19.73,44.9,18.89,45.8633333333,17.1,54.9,6.19,86.4233333333,17.1,41.2,18.1,48.59,17.0,45.29,5.9166666667,734.1666666667,91.8333333333,5.1666666667,40.0,4.6833333333,33.0398896243,33.0398896243
60,40,19.79,45.5975,19.2,44.4333333333,19.73,44.79,18.89,45.79,17.1666666667,55.0,6.1233333333,87.2266666667,17.1666666667,41.4,18.1,48.59,17.0,45.29,5.9333333333,734.2333333333,91.6666666667,5.3333333333,40.0,4.6666666667,31.4557021949,31.4557021949
70,40,19.8566666667,46.09,19.23,44.4,19.79,44.8633333333,18.89,46.0966666667,17.1,55.0,6.19,87.6266666667,17.2,41.5,18.1,48.59,17.0,45.29,5.95,734.3,91.5,5.5,40.0,4.65,3.0893135234,3.0893135234
