Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
40,10,19.8233333333,46.8633333333,19.2,45.3633333333,20.2,45.29,19.29,46.79,18.29,50.29,4.9,95.9333333333,17.89,45.79,19.0,54.0,17.2,50.0,5.1,741.1,93.0,5.0,29.0,4.1,37.8543574014,37.8543574014
50,10,19.8566666667,46.93,19.2,45.4,20.2,45.29,19.29,46.79,18.29,50.4266666667,4.9333333333,96.09,17.89,45.8633333333,19.0,54.06,17.2,50.09,5.1,741.2166666667,92.6666666667,5.0,30.8333333333,4.05,10.1346127572,10.1346127572
60,20,19.79,46.79,19.2,45.3266666667,20.1666666667,45.29,19.29,46.5966666667,18.23,50.8333333333,4.9333333333,96.09,17.89,45.52,18.9266666667,53.8,17.2,49.9633333333,5.1,741.3333333333,92.3333333333,5.0,32.6666666667,4.0,35.5560611235,35.5560611235
60,20,19.79,46.895,19.175,45.195,20.1,45.29,19.26,46.2966666667,18.2,51.2666666667,5.0,96.09,17.89,45.14,18.9725,53.15,17.2,49.7233333333,5.1,741.45,92.0,5.0,34.5,3.95,6.0845960514,6.0845960514
70,20,19.79,47.4266666667,19.1,45.03,20.1,45.29,19.2,46.09,18.2,51.5266666667,5.0,96.09,17.8566666667,44.8333333333,18.89,52.8,17.2,49.4633333333,5.1,741.5666666667,91.6666666667,5.0,36.3333333333,3.9,12.274425698,12.274425698
60,30,19.79,48.3666666667,19.1,45.0,20.1,45.29,19.1666666667,45.9666666667,18.1,51.8266666667,5.0,96.09,17.79,44.5666666667,18.8566666667,52.3633333333,17.15,48.995,5.1,741.6833333333,91.3333333333,5.0,38.1666666667,3.85,7.1652189712,7.1652189712
140,20,19.79,48.6666666667,19.1,45.0,20.2,45.29,19.1666666667,45.9,18.1,51.9666666667,5.06,96.1566666667,17.79,44.3266666667,18.79,51.9633333333,17.1,48.6333333333,5.1,741.8,91.0,5.0,40.0,3.8,11.9814707548,11.9814707548
110,30,19.79,48.5333333333,19.0666666667,45.06,20.1333333333,45.29,19.2,45.76,18.1,52.1266666667,5.09,96.0266666667,17.8566666667,44.66,18.79,51.6333333333,17.1,48.36,5.05,741.8833333333,91.0,5.0,40.0,3.7333333333,2.9467188637,2.9467188637
90,10,19.89,50.0,19.0222222222,45.0444444444,20.15,45.245,19.2,45.6266666667,18.0333333333,52.2,5.09,95.76,18.0,45.0633333333,18.79,51.395,17.1,48.0266666667,5.0,741.9666666667,91.0,5.0,40.0,3.6666666667,32.1144129266,32.1144129266
60,0,19.89,48.7333333333,19.1,45.2,20.1,45.2,19.1,45.5266666667,18.05,52.4,5.0,95.4566666667,18.0,44.4566666667,18.7,51.045,17.1,47.7666666667,4.95,742.05,91.0,5.0,40.0,3.6,43.8134606346,43.8134606346
